operation,big-O,Notes
요소 추가(Append),O(1),리스트 뒤에 데이터 저장
Pop,O(1),가장 뒤의 데이터 pop
특정 인덱스 값 반환,O(1),인덱스로 값 찾기
요소 삽입(Insert),O(N),데이터 삽입
요소 제거(Remove),O(N),데이터 삭제
위치 반환,O(N),값으로 인덱스 찾기
Store,O(1),특정 인덱스에 데이터 저장
Length,O(1),리스트 길이
Clear,O(1),리스트 모든 요소 제거
Extend,O(len(...)),확장되는 길이만큼 비례
Construction,O(len(...)),생성되는 리스트 길이만큼 비례
Comparison,O(N),전체 리스트가 같은지 또는 같지 않은지 확인
Containment,O(N),포함 또는 불포함 여부 확인
Copy,O(N),리스트 복제
Remove,O(N),리스트 특정 요소 제거
Pop,,리스트의 맨마지막 요소 삭제
리스트 뒤집기(Reverse),O(N),리스트 역으로 뒤집기
Iteration,O(N),리스트 전체 요소 순회
Multiply,O(kN),리스트를 k만큼 증가
